4gtv,#genre#
台視HD,http://2099.tv12.xyz/269_1765359341675.m3u8
中視,http://2099.tv12.xyz/270_1765359341675.m3u8
華視,http://2099.tv12.xyz/271_1765359341675.m3u8
好消息,http://2099.tv12.xyz/272_1765359341675.m3u8
好消息2台,http://2099.tv12.xyz/273_1765359341675.m3u8
國會頻道1,http://2099.tv12.xyz/274_1765359341675.m3u8
國會頻道2,http://2099.tv12.xyz/275_1765359341675.m3u8
中視經典台,http://2099.tv12.xyz/276_1765359341675.m3u8
ROCK Entertainment,http://2099.tv12.xyz/277_1765359341675.m3u8
公視戲劇,http://2099.tv12.xyz/278_1765359341675.m3u8
民視影劇,http://2099.tv12.xyz/279_1765359341675.m3u8
HITS,http://2099.tv12.xyz/280_1765359341675.m3u8
霹靂布袋戲,http://2099.tv12.xyz/281_1765359341675.m3u8
靖天戲劇,http://2099.tv12.xyz/282_1765359341675.m3u8
靖洋戲劇,http://2099.tv12.xyz/283_1765359341675.m3u8
金光布袋戲,http://2099.tv12.xyz/284_1765359341675.m3u8
ROCK Action,http://2099.tv12.xyz/285_1765359341675.m3u8
采昌影劇,http://2099.tv12.xyz/286_1765359341675.m3u8
靖天映畫,http://2099.tv12.xyz/287_1765359341675.m3u8
靖天電影,http://2099.tv12.xyz/288_1765359341675.m3u8
影迷數位電影台,http://2099.tv12.xyz/289_1765359341675.m3u8
amc 電影台,http://2099.tv12.xyz/290_1765359341675.m3u8
Cinema World,http://2099.tv12.xyz/291_1765359341675.m3u8
歐洲光影,http://2099.tv12.xyz/292_1765359341675.m3u8
TVBS台劇台,http://2099.tv12.xyz/293_1765359341675.m3u8
經典電影台,http://2099.tv12.xyz/294_1765359341675.m3u8
戲劇免費看1台,http://2099.tv12.xyz/295_1765359341675.m3u8
中視經典台,http://2099.tv12.xyz/296_1765359341675.m3u8
龍華洋片,http://2099.tv12.xyz/297_1765359341675.m3u8
龍華電影,http://2099.tv12.xyz/298_1765359341675.m3u8
龍華日韓,http://2099.tv12.xyz/299_1765359341675.m3u8
龍華偶像,http://2099.tv12.xyz/300_1765359341675.m3u8
龍華戲劇,http://2099.tv12.xyz/301_1765359341675.m3u8
龍華經典,http://2099.tv12.xyz/302_1765359341675.m3u8
公視戲劇,http://2099.tv12.xyz/303_1765359341675.m3u8
民視影劇,http://2099.tv12.xyz/304_1765359341675.m3u8
靖天戲劇,http://2099.tv12.xyz/305_1765359341675.m3u8
靖洋戲劇,http://2099.tv12.xyz/306_1765359341675.m3u8
采昌影劇,http://2099.tv12.xyz/307_1765359341675.m3u8
靖天映畫,http://2099.tv12.xyz/308_1765359341675.m3u8
靖天電影,http://2099.tv12.xyz/309_1765359341675.m3u8
影迷數位電影台,http://2099.tv12.xyz/310_1765359341675.m3u8
amc 電影台,http://2099.tv12.xyz/311_1765359341675.m3u8
台灣戲劇台,http://2099.tv12.xyz/312_1765359341675.m3u8
台灣戲劇台,http://2099.tv12.xyz/313_1765359341675.m3u8
龍華洋片,http://2099.tv12.xyz/314_1765359341675.m3u8
龍華電影,http://2099.tv12.xyz/315_1765359341675.m3u8
龍華日韓,http://2099.tv12.xyz/316_1765359341675.m3u8
龍華偶像,http://2099.tv12.xyz/317_1765359341675.m3u8
龍華戲劇,http://2099.tv12.xyz/318_1765359341675.m3u8
龍華經典,http://2099.tv12.xyz/319_1765359341675.m3u8
八大綜藝,http://2099.tv12.xyz/320_1765359341675.m3u8
TVBS精采台,http://2099.tv12.xyz/321_1765359341675.m3u8
ELTA娛樂,http://2099.tv12.xyz/322_1765359341675.m3u8
民視綜藝,http://2099.tv12.xyz/323_1765359341675.m3u8
豬哥亮歌廳秀,http://2099.tv12.xyz/324_1765359341675.m3u8
TVBS歡樂台,http://2099.tv12.xyz/325_1765359341675.m3u8
電影原聲台 CMusic,http://2099.tv12.xyz/326_1765359341675.m3u8
Trace Urban,http://2099.tv12.xyz/327_1765359341675.m3u8
MTV Live,http://2099.tv12.xyz/328_1765359341675.m3u8
MEZZO LIVE HD,http://2099.tv12.xyz/329_1765359341675.m3u8
CLASSICA 古典樂,http://2099.tv12.xyz/330_1765359341675.m3u8
八大精彩,http://2099.tv12.xyz/331_1765359341675.m3u8
TVBS綜藝台,http://2099.tv12.xyz/332_1765359341675.m3u8
八大綜藝,http://2099.tv12.xyz/333_1765359341675.m3u8
TVBS精采台,http://2099.tv12.xyz/334_1765359341675.m3u8
ELTA娛樂,http://2099.tv12.xyz/335_1765359341675.m3u8
民視綜藝,http://2099.tv12.xyz/336_1765359341675.m3u8
豬哥亮歌廳秀,http://2099.tv12.xyz/337_1765359341675.m3u8
TVBS歡樂台,http://2099.tv12.xyz/338_1765359341675.m3u8
Trace Urban,http://2099.tv12.xyz/339_1765359341675.m3u8
MEZZO LIVE HD,http://2099.tv12.xyz/340_1765359341675.m3u8
CLASSICA 古典樂,http://2099.tv12.xyz/341_1765359341675.m3u8
八大精彩,http://2099.tv12.xyz/342_1765359341675.m3u8
Global Trekker,http://2099.tv12.xyz/343_1765359341675.m3u8
Lifetime,http://2099.tv12.xyz/344_1765359341675.m3u8
INULTRA,http://2099.tv12.xyz/345_1765359341675.m3u8
Pet Club TV,http://2099.tv12.xyz/346_1765359341675.m3u8
民視旅遊,http://2099.tv12.xyz/347_1765359341675.m3u8
滾動力 Rollor,http://2099.tv12.xyz/348_1765359341675.m3u8
亞洲旅遊,http://2099.tv12.xyz/349_1765359341675.m3u8
FUN 4K探索娛樂,http://2099.tv12.xyz/350_1765359341675.m3u8
幸福空間居家台,http://2099.tv12.xyz/351_1765359341675.m3u8
LOVE NATURE,http://2099.tv12.xyz/352_1765359341675.m3u8
ELTA生活旅遊,http://2099.tv12.xyz/353_1765359341675.m3u8
LUXE TV,http://2099.tv12.xyz/354_1765359341675.m3u8
TV5MONDE Style,http://2099.tv12.xyz/355_1765359341675.m3u8
MagellanTV頻道,http://2099.tv12.xyz/356_1765359341675.m3u8
民視旅遊,http://2099.tv12.xyz/357_1765359341675.m3u8
亞洲旅遊,http://2099.tv12.xyz/358_1765359341675.m3u8
Smart知識台,http://2099.tv12.xyz/359_1765359341675.m3u8
亞洲旅遊,http://2099.tv12.xyz/360_1765359341675.m3u8
Smart知識台,http://2099.tv12.xyz/361_1765359341675.m3u8
LiveABC 互動英語台,http://2099.tv12.xyz/362_1765359341675.m3u8
達文西,http://2099.tv12.xyz/363_1765359341675.m3u8
ELTV生活英語台,http://2099.tv12.xyz/364_1765359341675.m3u8
Nick Jr.,http://2099.tv12.xyz/365_1765359341675.m3u8
Nickelodeon,http://2099.tv12.xyz/366_1765359341675.m3u8
DreamWorks,http://2099.tv12.xyz/367_1765359341675.m3u8
靖天卡通台,http://2099.tv12.xyz/368_1765359341675.m3u8
靖洋卡通,http://2099.tv12.xyz/369_1765359341675.m3u8
MOMO親子,http://2099.tv12.xyz/370_1765359341675.m3u8
經典卡通台,http://2099.tv12.xyz/371_1765359341675.m3u8
精選動漫台,http://2099.tv12.xyz/372_1765359341675.m3u8
龍華卡通,http://2099.tv12.xyz/373_1765359341675.m3u8
達文西,http://2099.tv12.xyz/374_1765359341675.m3u8
ELTV生活英語台,http://2099.tv12.xyz/375_1765359341675.m3u8
靖天卡通台,http://2099.tv12.xyz/376_1765359341675.m3u8
靖洋卡通,http://2099.tv12.xyz/377_1765359341675.m3u8
ELTV生活英語台,http://2099.tv12.xyz/378_1765359341675.m3u8
龍華卡通,http://2099.tv12.xyz/379_1765359341675.m3u8
鏡電視新聞台,http://2099.tv12.xyz/380_1765359341675.m3u8
東森新聞,http://2099.tv12.xyz/381_1765359341675.m3u8
華視新聞台,http://2099.tv12.xyz/382_1765359341675.m3u8
民視新聞,http://2099.tv12.xyz/383_1765359341675.m3u8
三立iNEWS,http://2099.tv12.xyz/384_1765359341675.m3u8
東森財經新聞,http://2099.tv12.xyz/385_1765359341675.m3u8
中視新聞台,http://2099.tv12.xyz/386_1765359341675.m3u8
中天新聞台,http://2099.tv12.xyz/387_1765359341675.m3u8
BLOOMBERG TV,http://2099.tv12.xyz/388_1765359341675.m3u8
寰宇新聞,http://2099.tv12.xyz/389_1765359341675.m3u8
寰宇新聞台灣台,http://2099.tv12.xyz/390_1765359341675.m3u8
SBN 全球財經台,http://2099.tv12.xyz/391_1765359341675.m3u8
寰宇財經,http://2099.tv12.xyz/392_1765359341675.m3u8
FRANCE24 英文台,http://2099.tv12.xyz/393_1765359341675.m3u8
半島國際新聞台,http://2099.tv12.xyz/394_1765359341675.m3u8
